"","Award.Year","Winner.Id","Full.Name","Field","Prize","Prize.Amount","Prize.Amount.Adjusted","Prize.Share","Motivation","Date.Awarded","DOB","age"
"27","1905","164","Adolf von Baeyer","Chemistry","The Nobel Prize in Chemistry",138089,7753291,"1","in recognition of his services in the advancement of organic chemistry and the chemical industry, through his work on organic dyes and hydroaromatic compounds",NA,"1835-10-31",0
"28","1905","575","Henryk Sienkiewicz","Literature","The Nobel Prize in Literature",138089,7753291,"1","because of his outstanding merits as an epic writer",NA,"1846-05-05",0
"29","1905","468","Bertha von Suttner","Peace","The Nobel Peace Prize",138089,7753291,"1","for her audacity to oppose the horrors of war","1905-12-10","1843-06-09",0
"30","1905","9","Philipp Lenard","Physics","The Nobel Prize in Physics",138089,7753291,"1","for his work on cathode rays",NA,"1862-06-07",0
"31","1905","297","Robert Koch","Physiology or Medicine","The Nobel Prize in Physiology or Medicine",138089,7753291,"1","for his investigations and discoveries in relation to tuberculosis",NA,"1843-12-11",0
"32","1906","165","Henri Moissan","Chemistry","The Nobel Prize in Chemistry",138536,7556149,"1","in recognition of the great services rendered by him in his investigation and isolation of the element fluorine, and for the adoption in the service of science of the electric furnace called after him",NA,"1852-09-28",0
"33","1906","576","Giosuè Carducci","Literature","The Nobel Prize in Literature",138536,7556149,"1","not only in consideration of his deep learning and critical research, but above all as a tribute to the creative energy, freshness of style, and lyrical force which characterize his poetic masterpieces",NA,"1835-07-27",0
"34","1906","470","Theodore Roosevelt","Peace","The Nobel Peace Prize",138536,7556149,"1","for his role in bringing to an end the bloody war recently waged between two of the world's great powers, Japan and Russia","1906-12-10","1858-10-27",0
"35","1906","10","J.J. Thomson","Physics","The Nobel Prize in Physics",138536,7556149,"1","in recognition of the great merits of his theoretical and experimental investigations on the conduction of electricity by gases",NA,"1856-12-18",0
"36","1906","298","Camillo Golgi","Physiology or Medicine","The Nobel Prize in Physiology or Medicine",138536,7556149,"1/2","in recognition of their work on the structure of the nervous system",NA,"1843-07-07",0
"37","1906","299","Santiago Ramón y Cajal","Physiology or Medicine","The Nobel Prize in Physiology or Medicine",138536,7556149,"1/2","in recognition of their work on the structure of the nervous system",NA,"1852-05-01",0
"38","1907","166","Eduard Buchner","Chemistry","The Nobel Prize in Chemistry",138796,7161123,"1","for his biochemical researches and his discovery of cell-free fermentation",NA,"1860-05-20",0
"39","1907","577","Rudyard Kipling","Literature","The Nobel Prize in Literature",138796,7161123,"1","in consideration of the power of observation, originality of imagination, virility of ideas and remarkable talent for narration which characterize the creations of this world-famous author",NA,"1865-12-30",0
"40","1907","471","Ernesto Teodoro Moneta","Peace","The Nobel Peace Prize",138796,7161123,"1/2","for his work in the press and in peace meetings, both public and private, for an understanding between France and Italy","1907-12-10","1833-09-20",0
"41","1907","472","Louis Renault","Peace","The Nobel Peace Prize",138796,7161123,"1/2","for his decisive influence upon the conduct and outcome of the Hague and Geneva Conferences","1907-12-10","1843-05-21",0
"42","1907","11","Albert A. Michelson","Physics","The Nobel Prize in Physics",138796,7161123,"1","for his optical precision instruments and the spectroscopic and metrological investigations carried out with their aid",NA,"1852-12-19",0
"43","1907","300","Alphonse Laveran","Physiology or Medicine","The Nobel Prize in Physiology or Medicine",138796,7161123,"1","in recognition of his work on the role played by protozoa in causing diseases",NA,"1845-06-18",0
"44","1908","167","Ernest Rutherford","Chemistry","The Nobel Prize in Chemistry",139800,7212924,"1","for his investigations into the disintegration of the elements, and the chemistry of radioactive substances",NA,"1871-08-30",0
"45","1908","578","Rudolf Eucken","Literature","The Nobel Prize in Literature",139800,7212924,"1","in recognition of his earnest search for truth, his penetrating power of thought, his wide range of vision, and the warmth and strength in presentation with which in his numerous works he has vindicated and developed an idealistic philosophy of life",NA,"1846-01-05",0
"46","1908","473","Klas Pontus Arnoldson","Peace","The Nobel Peace Prize",139800,7212924,"1/2","for their long time work for the cause of peace as politicians, peace society leaders, orators and authors","1908-12-10","1844-10-27",0
"47","1908","474","Fredrik Bajer","Peace","The Nobel Peace Prize",139800,7212924,"1/2","for their long time work for the cause of peace as politicians, peace society leaders, orators and authors","1908-12-10","1837-04-21",0
"48","1908","12","Gabriel Lippmann","Physics","The Nobel Prize in Physics",139800,7212924,"1","for his method of reproducing colours photographically based on the phenomenon of interference",NA,"1845-08-16",0
"49","1908","301","Ilya Mechnikov","Physiology or Medicine","The Nobel Prize in Physiology or Medicine",139800,7212924,"1/2","in recognition of their work on immunity",NA,"1845-05-15",0
"50","1908","302","Paul Ehrlich","Physiology or Medicine","The Nobel Prize in Physiology or Medicine",139800,7212924,"1/2","in recognition of their work on immunity",NA,"1854-03-14",0
"51","1909","168","Wilhelm Ostwald","Chemistry","The Nobel Prize in Chemistry",139800,7212924,"1","in recognition of his work on catalysis and for his investigations into the fundamental principles governing chemical equilibria and rates of reaction",NA,"1853-09-02",0
"52","1909","579","Selma Lagerlöf","Literature","The Nobel Prize in Literature",139800,7212924,"1","in appreciation of the lofty idealism, vivid imagination and spiritual perception that characterize her writings",NA,"1858-11-20",0
"53","1909","475","Auguste Beernaert","Peace","The Nobel Peace Prize",139800,7212924,"1/2","for their prominent position in the international movement for peace and arbitration","1909-12-10","1829-07-26",0
"54","1909","476","Paul Henri d'Estournelles de Constant","Peace","The Nobel Peace Prize",139800,7212924,"1/2","for their prominent position in the international movement for peace and arbitration","1909-12-10","1852-11-22",0
"55","1909","13","Guglielmo Marconi","Physics","The Nobel Prize in Physics",139800,7212924,"1/2","in recognition of their contributions to the development of wireless telegraphy",NA,"1874-04-25",0
"56","1909","14","Ferdinand Braun","Physics","The Nobel Prize in Physics",139800,7212924,"1/2","in recognition of their contributions to the development of wireless telegraphy",NA,"1850-06-06",0
"57","1909","303","Theodor Kocher","Physiology or Medicine","The Nobel Prize in Physiology or Medicine",139800,7212924,"1","for his work on the physiology, pathology and surgery of the thyroid gland",NA,"1841-08-25",0
"58","1910","169","Otto Wallach","Chemistry","The Nobel Prize in Chemistry",140703,7259514,"1","in recognition of his services to organic chemistry and the chemical industry by his pioneer work in the field of alicyclic compounds",NA,"1847-03-27",0
"59","1910","580","Paul Heyse","Literature","The Nobel Prize in Literature",140703,7259514,"1","as a tribute to the consummate artistry, permeated with idealism, which he has demonstrated during his long productive career as a lyric poet, dramatist, novelist and writer of world-renowned short stories",NA,"1830-03-15",0
"60","1910","477",NA,"Peace","The Nobel Peace Prize",140703,7259514,"1","for acting as a link between the peace societies of the various countries, and helping them to organize the world rallies of the international peace movement","1910-12-10",NA,0
"61","1910","15","Johannes Diderik van der Waals","Physics","The Nobel Prize in Physics",140703,7259514,"1","for his work on the equation of state for gases and liquids",NA,"1837-11-23",0
"62","1910","304","Albrecht Kossel","Physiology or Medicine","The Nobel Prize in Physiology or Medicine",140703,7259514,"1","in recognition of the contributions to our knowledge of cell chemistry made through his work on proteins, including the nucleic substances",NA,"1853-09-16",0
"63","1911","6","Marie Curie","Chemistry","The Nobel Prize in Chemistry",140695,7460743,"1","in recognition of her services to the advancement of chemistry by the discovery of the elements radium and polonium, by the isolation of radium and the study of the nature and compounds of this remarkable element",NA,"1867-11-07",0
"64","1911","581","Maurice Maeterlinck","Literature","The Nobel Prize in Literature",140695,7460743,"1","in appreciation of his many-sided literary activities, and especially of his dramatic works, which are distinguished by a wealth of imagination and by a poetic fancy, which reveals, sometimes in the guise of a fairy tale, a deep inspiration, while in a mysterious way they appeal to the readers' own feelings and stimulate their imaginations",NA,"1862-08-29",0
"65","1911","478","Tobias Asser","Peace","The Nobel Peace Prize",140695,7460743,"1/2","for his role as co-founder of the Institut de droit international, initiator of the Conferences on International Private Law (Conférences de Droit international privé) at the Hague, and pioneer in the field of international legal relations","1911-12-10","1838-04-28",0
"66","1911","479","Alfred Fried","Peace","The Nobel Peace Prize",140695,7460743,"1/2","for his effort to expose and fight what he considers to be the main cause of war, namely, the anarchy in international relations","1911-12-10","1864-11-11",0
"67","1911","16","Wilhelm Wien","Physics","The Nobel Prize in Physics",140695,7460743,"1","for his discoveries regarding the laws governing the radiation of heat",NA,"1864-01-13",0
"68","1911","305","Allvar Gullstrand","Physiology or Medicine","The Nobel Prize in Physiology or Medicine",140695,7460743,"1","for his work on the dioptrics of the eye",NA,"1862-06-05",0
"69","1912","172","Victor Grignard","Chemistry","The Nobel Prize in Chemistry",140476,6876120,"1/2","for the discovery of the so-called Grignard reagent, which in recent years has greatly advanced the progress of organic chemistry",NA,"1871-05-06",0
"70","1912","173","Paul Sabatier","Chemistry","The Nobel Prize in Chemistry",140476,6876120,"1/2","for his method of hydrogenating organic compounds in the presence of finely disintegrated metals whereby the progress of organic chemistry has been greatly advanced in recent years",NA,"1854-11-05",0
"71","1912","582","Gerhart Hauptmann","Literature","The Nobel Prize in Literature",140476,6876120,"1","primarily in recognition of his fruitful, varied and outstanding production in the realm of dramatic art",NA,"1862-11-15",0
"72","1912","480","Elihu Root","Peace","The Nobel Peace Prize",140476,6876120,"1","for bringing about better understanding between the countries of North and South America and initiating important arbitration agreements between the United States and other countries","1913-12-10","1845-02-15",0
"73","1912","17","Gustaf Dalén","Physics","The Nobel Prize in Physics",140476,6876120,"1","for his invention of automatic regulators for use in conjunction with gas accumulators for illuminating lighthouses and buoys",NA,"1869-11-30",0
"74","1912","306","Alexis Carrel","Physiology or Medicine","The Nobel Prize in Physiology or Medicine",140476,6876120,"1","in recognition of his work on vascular suture and the transplantation of blood vessels and organs",NA,"1873-06-28",0
"75","1913","174","Alfred Werner","Chemistry","The Nobel Prize in Chemistry",143010,7000156,"1","in recognition of his work on the linkage of atoms in molecules by which he has thrown new light on earlier investigations and opened up new fields of research especially in inorganic chemistry",NA,"1866-12-12",0
"76","1913","583","Rabindranath Tagore","Literature","The Nobel Prize in Literature",143010,7000156,"1","because of his profoundly sensitive, fresh and beautiful verse, by which, with consummate skill, he has made his poetic thought, expressed in his own English words, a part of the literature of the West",NA,"1861-05-07",0
"77","1913","481","Henri La Fontaine","Peace","The Nobel Peace Prize",143010,7000156,"1","for his unparalleled contribution to the organization of peaceful internationalism","1913-12-10","1854-04-22",0
"78","1913","18","Heike Kamerlingh Onnes","Physics","The Nobel Prize in Physics",143010,7000156,"1","for his investigations on the properties of matter at low temperatures which led, inter alia, to the production of liquid helium",NA,"1853-09-21",0
"79","1913","307","Charles Richet","Physiology or Medicine","The Nobel Prize in Physiology or Medicine",143010,7000156,"1","in recognition of his work on anaphylaxis",NA,"1850-08-26",0
"80","1914","175","Theodore W. Richards","Chemistry","The Nobel Prize in Chemistry",146900,7190567,"1","in recognition of his accurate determinations of the atomic weight of a large number of chemical elements","1915-11-11","1868-01-31",0
"81","1914",NA,NA,"Literature","The Nobel Prize in Literature",146900,7190567,NA,NA,NA,NA,0
"82","1914",NA,NA,"Peace","The Nobel Peace Prize",146900,7190567,NA,NA,NA,NA,0
"83","1914","19","Max von Laue","Physics","The Nobel Prize in Physics",146900,7190567,"1","for his discovery of the diffraction of X-rays by crystals","1915-11-11","1879-10-09",0
"84","1914","308","Robert Bárány","Physiology or Medicine","The Nobel Prize in Physiology or Medicine",146900,7190567,"1","for his work on the physiology and pathology of the vestibular apparatus","1915-10-29","1876-04-22",0
"85","1915","176","Richard Willstätter","Chemistry","The Nobel Prize in Chemistry",149223,6330371,"1","for his researches on plant pigments, especially chlorophyll","1915-11-11","1872-08-13",0
"86","1915","584","Romain Rolland","Literature","The Nobel Prize in Literature",149223,6330371,"1","as a tribute to the lofty idealism of his literary production and to the sympathy and love of truth with which he has described different types of human beings","1916-11-09","1866-01-29",0
"87","1915",NA,NA,"Peace","The Nobel Peace Prize",149223,6330371,NA,NA,NA,NA,0
"88","1915","20","William Bragg","Physics","The Nobel Prize in Physics",149223,6330371,"1/2","for their services in the analysis of crystal structure by means of X-rays","1915-11-12","1862-07-02",0
"89","1915","21","Lawrence Bragg","Physics","The Nobel Prize in Physics",149223,6330371,"1/2","for their services in the analysis of crystal structure by means of X-rays","1915-11-12","1890-03-31",0
"90","1915",NA,NA,"Physiology or Medicine","The Nobel Prize in Physiology or Medicine",149223,6330371,NA,NA,NA,NA,0
"91","1916",NA,NA,"Chemistry","The Nobel Prize in Chemistry",131793,4933193,NA,NA,NA,NA,0
"92","1916","585","Verner von Heidenstam","Literature","The Nobel Prize in Literature",131793,4933193,"1","in recognition of his significance as the leading representative of a new era in our literature","1916-11-09","1859-07-06",0
"93","1916",NA,NA,"Peace","The Nobel Peace Prize",131793,4933193,NA,NA,NA,NA,0
"94","1916",NA,NA,"Physics","The Nobel Prize in Physics",131793,4933193,NA,NA,NA,NA,0
"95","1916",NA,NA,"Physiology or Medicine","The Nobel Prize in Physiology or Medicine",131793,4933193,NA,NA,NA,NA,0
"96","1917",NA,NA,"Chemistry","The Nobel Prize in Chemistry",133823,3991689,NA,NA,NA,NA,0
"97","1917","586","Karl Gjellerup","Literature","The Nobel Prize in Literature",133823,3991689,"1/2","for his varied and rich poetry, which is inspired by lofty ideals","1917-11-08","1857-06-02",0
"98","1917","587","Henrik Pontoppidan","Literature","The Nobel Prize in Literature",133823,3991689,"1/2","for his authentic descriptions of present-day life in Denmark","1917-11-08","1857-07-24",0
"99","1917","482",NA,"Peace","The Nobel Peace Prize",133823,3991689,"1","for the efforts to take care of wounded soldiers and prisoners of war and their families","1917-12-10",NA,0
"100","1917","22","Charles Glover Barkla","Physics","The Nobel Prize in Physics",133823,3991689,"1","for his discovery of the characteristic R&ouml;ntgen radiation of the elements","1918-11-12","1877-06-07",0
"101","1917",NA,NA,"Physiology or Medicine","The Nobel Prize in Physiology or Medicine",133823,3991689,NA,NA,NA,NA,0
"102","1918","177","Fritz Haber","Chemistry","The Nobel Prize in Chemistry",138198,2899121,"1","for the synthesis of ammonia from its elements",NA,"1868-12-09",0
"103","1918",NA,NA,"Literature","The Nobel Prize in Literature",138198,2899121,NA,NA,NA,NA,0
"104","1918",NA,NA,"Peace","The Nobel Peace Prize",138198,2899121,NA,NA,NA,NA,0
"105","1918","23","Max Planck","Physics","The Nobel Prize in Physics",138198,2899121,"1","in recognition of the services he rendered to the advancement of Physics by his discovery of energy quanta",NA,"1858-04-23",0
"106","1918",NA,NA,"Physiology or Medicine","The Nobel Prize in Physiology or Medicine",138198,2899121,NA,NA,NA,NA,0
"107","1919",NA,NA,"Chemistry","The Nobel Prize in Chemistry",133127,2420376,NA,NA,NA,NA,0
"108","1919","588","Carl Spitteler","Literature","The Nobel Prize in Literature",133127,2420376,"1","in special appreciation of his epic, <I>Olympian Spring</I>",NA,"1845-04-24",0
"109","1919","483","Woodrow Wilson","Peace","The Nobel Peace Prize",133127,2420376,"1","for his role as founder of the League of Nations","1920-12-10","1856-12-28",0
"110","1919","24","Johannes Stark","Physics","The Nobel Prize in Physics",133127,2420376,"1","for his discovery of the Doppler effect in canal rays and the splitting of spectral lines in electric fields",NA,"1874-04-15",0
"111","1919","309","Jules Bordet","Physiology or Medicine","The Nobel Prize in Physiology or Medicine",133127,2420376,"1","for his discoveries relating to immunity",NA,"1870-06-13",0
"112","1920","178","Walther Nernst","Chemistry","The Nobel Prize in Chemistry",134100,2438066,"1","in recognition of his work in thermochemistry",NA,"1864-06-25",0
"113","1920","589","Knut Hamsun","Literature","The Nobel Prize in Literature",134100,2438066,"1","for his monumental work, <I>Growth of the Soil</I>",NA,"1859-08-04",0
"114","1920","484","Léon Bourgeois","Peace","The Nobel Peace Prize",134100,2438066,"1","for his longstanding contribution to the cause of peace and justice and his prominent role in the establishment of the League of Nations","1920-12-10","1851-05-21",0
"115","1920","25","Charles Edouard Guillaume","Physics","The Nobel Prize in Physics",134100,2438066,"1","in recognition of the service he has rendered to precision measurements in Physics by his discovery of anomalies in nickel steel alloys",NA,"1861-02-15",0
"116","1920","310","August Krogh","Physiology or Medicine","The Nobel Prize in Physiology or Medicine",134100,2438066,"1","for his discovery of the capillary motor regulating mechanism",NA,"1874-11-15",0
"117","1921","179","Frederick Soddy","Chemistry","The Nobel Prize in Chemistry",121573,2578698,"1","for his contributions to our knowledge of the chemistry of radioactive substances, and his investigations into the origin and nature of isotopes",NA,"1877-09-02",0
"118","1921","590","Anatole France","Literature","The Nobel Prize in Literature",121573,2578698,"1","in recognition of his brilliant literary achievements, characterized as they are by a nobility of style, a profound human sympathy, grace, and a true Gallic temperament",NA,"1844-04-16",0
"119","1921","485","Hjalmar Branting","Peace","The Nobel Peace Prize",121573,2578698,"1/2","for their lifelong contributions to the cause of peace and organized internationalism","1921-12-10","1860-11-23",0
"120","1921","486","Christian Lange","Peace","The Nobel Peace Prize",121573,2578698,"1/2","for their lifelong contributions to the cause of peace and organized internationalism","1921-12-10","1869-09-17",0
"121","1921","26","Albert Einstein","Physics","The Nobel Prize in Physics",121573,2578698,"1","for his services to Theoretical Physics, and especially for his discovery of the law of the photoelectric effect",NA,"1879-03-14",0
"122","1921",NA,NA,"Physiology or Medicine","The Nobel Prize in Physiology or Medicine",121573,2578698,NA,NA,NA,NA,0
"123","1922","180","Francis W. Aston","Chemistry","The Nobel Prize in Chemistry",122483,3203014,"1","for his discovery, by means of his mass spectrograph, of isotopes, in a large number of non-radioactive elements, and for his enunciation of the whole-number rule",NA,"1877-09-01",0
"124","1922","592","Jacinto Benavente","Literature","The Nobel Prize in Literature",122483,3203014,"1","for the happy manner in which he has continued the illustrious traditions of the Spanish drama",NA,"1866-08-12",0
"125","1922","487","Fridtjof Nansen","Peace","The Nobel Peace Prize",122483,3203014,"1","for his leading role in the repatriation of prisoners of war, in international relief work and as the League of Nations' High Commissioner for refugees","1922-12-10","1861-10-10",0
"126","1922","27","Niels Bohr","Physics","The Nobel Prize in Physics",122483,3203014,"1","for his services in the investigation of the structure of atoms and of the radiation emanating from them",NA,"1885-10-07",0
"127","1922","311","Archibald V. Hill","Physiology or Medicine","The Nobel Prize in Physiology or Medicine",122483,3203014,"1/2","for his discovery relating to the production of heat in the muscle",NA,"1886-09-26",0
"128","1922","312","Otto Meyerhof","Physiology or Medicine","The Nobel Prize in Physiology or Medicine",122483,3203014,"1/2","for his discovery of the fixed relationship between the consumption of oxygen and the metabolism of lactic acid in the muscle",NA,"1884-04-12",0
"129","1923","181","Fritz Pregl","Chemistry","The Nobel Prize in Chemistry",114935,3226631,"1","for his invention of the method of micro-analysis of organic substances",NA,"1869-09-03",0
"130","1923","593","William Butler Yeats","Literature","The Nobel Prize in Literature",114935,3226631,"1","for his always inspired poetry, which in a highly artistic form gives expression to the spirit of a whole nation",NA,"1865-06-13",0
"131","1923",NA,NA,"Peace","The Nobel Peace Prize",114935,3226631,NA,NA,NA,NA,0
"132","1923","28","Robert A. Millikan","Physics","The Nobel Prize in Physics",114935,3226631,"1","for his work on the elementary charge of electricity and on the photoelectric effect",NA,"1868-03-22",0
"133","1923","313","Frederick G. Banting","Physiology or Medicine","The Nobel Prize in Physiology or Medicine",114935,3226631,"1/2","for the discovery of insulin",NA,"1891-11-14",0
"134","1923","314","John Macleod","Physiology or Medicine","The Nobel Prize in Physiology or Medicine",114935,3226631,"1/2","for the discovery of insulin",NA,"1876-09-06",0
"135","1924",NA,NA,"Chemistry","The Nobel Prize in Chemistry",116719,3276714,NA,NA,NA,NA,0
"136","1924","594","Wladyslaw Reymont","Literature","The Nobel Prize in Literature",116719,3276714,"1","for his great national epic, <I>The Peasants</I>",NA,"1867-05-07",0
"137","1924",NA,NA,"Peace","The Nobel Peace Prize",116719,3276714,NA,NA,NA,NA,0
"138","1924","29","Manne Siegbahn","Physics","The Nobel Prize in Physics",116719,3276714,"1","for his discoveries and research in the field of X-ray spectroscopy",NA,"1886-12-03",0
"139","1924","315","Willem Einthoven","Physiology or Medicine","The Nobel Prize in Physiology or Medicine",116719,3276714,"1","for his discovery of the mechanism of the electrocardiogram",NA,"1860-05-21",0
"140","1925","182","Richard Zsigmondy","Chemistry","The Nobel Prize in Chemistry",118165,3269232,"1","for his demonstration of the heterogenous nature of colloid solutions and for the methods he used, which have since become fundamental in modern colloid chemistry",NA,"1865-04-01",0
"141","1925","596","George Bernard Shaw","Literature","The Nobel Prize in Literature",118165,3269232,"1","for his work which is marked by both idealism and humanity, its stimulating satire often being infused with a singular poetic beauty",NA,"1856-07-26",0
"142","1925","488","Sir Austen Chamberlain","Peace","The Nobel Peace Prize",118165,3269232,"1/2","for his crucial role in bringing about the Locarno Treaty","1926-12-10","1863-10-16",0
"143","1925","489","Charles G. Dawes","Peace","The Nobel Peace Prize",118165,3269232,"1/2","for his crucial role in bringing about the Dawes Plan","1926-12-10","1865-08-27",0
"144","1925","30","James Franck","Physics","The Nobel Prize in Physics",118165,3269232,"1/2","for their discovery of the laws governing the impact of an electron upon an atom",NA,"1882-08-26",0
"145","1925","31","Gustav Hertz","Physics","The Nobel Prize in Physics",118165,3269232,"1/2","for their discovery of the laws governing the impact of an electron upon an atom",NA,"1887-07-22",0
"146","1925",NA,NA,"Physiology or Medicine","The Nobel Prize in Physiology or Medicine",118165,3269232,NA,NA,NA,NA,0
"147","1926","183","The Svedberg","Chemistry","The Nobel Prize in Chemistry",116960,3332487,"1","for his work on disperse systems",NA,"1884-08-30",0
"148","1926","597","Grazia Deledda","Literature","The Nobel Prize in Literature",116960,3332487,"1","for her idealistically inspired writings which with plastic clarity picture the life on her native island and with depth and sympathy deal with human problems in general",NA,"1871-09-27",0
"149","1926","490","Aristide Briand","Peace","The Nobel Peace Prize",116960,3332487,"1/2","for their crucial role in bringing about the Locarno Treaty","1926-12-10","1862-03-28",0
"150","1926","491","Gustav Stresemann","Peace","The Nobel Peace Prize",116960,3332487,"1/2","for their crucial role in bringing about the Locarno Treaty","1926-12-10","1878-05-10",0
"151","1926","32","Jean Baptiste Perrin","Physics","The Nobel Prize in Physics",116960,3332487,"1","for his work on the discontinuous structure of matter, and especially for his discovery of sedimentation equilibrium",NA,"1870-09-30",0
"152","1926","316","Johannes Fibiger","Physiology or Medicine","The Nobel Prize in Physiology or Medicine",116960,3332487,"1","for his discovery of the Spiroptera carcinoma",NA,"1867-04-23",0
"153","1927","184","Heinrich Wieland","Chemistry","The Nobel Prize in Chemistry",126501,3658946,"1","for his investigations of the constitution of the bile acids and related substances",NA,"1877-06-04",0
"154","1927","600","Henri Bergson","Literature","The Nobel Prize in Literature",126501,3658946,"1","in recognition of his rich and vitalizing ideas and the brilliant skill with which they have been presented",NA,"1859-10-18",0
